"Annabel Tall","Q76363398","2019 United Kingdom general election","Bath","Conservative Party"
"Ben Brent",,,,
"Bernard J. Kennedy",,,,
"Bernard Kennedy",,,,
"Bernard Silver",,,,
"Brinsley de Courcy Nixon",,,,
"Charles Boney",,,,
"Charles R. Boney",,,,
"Christopher Lees","Q98539303","2005 United Kingdom general election","Bristol North West","UK Independence Party"
"Claire Hiscott","Q63929204","2019 European Parliament election in South West England","South West England","Conservative Party"
"Darren Hall",,,,
"David Goldblatt",,,,
"David J. Blackman",,,,
"David James Cross",,,,
"Dawn Parry",,,,
"Desmond Allhusen",,,,
"Donald McLaren",,,,
"Douglas Reid",,,,
"George Sawday",,,,
"Gundula Dorey","Q98521742","1983 United Kingdom general election","Bristol East","The Ecology Party"
"Harold Lawrance",,,,
"Hedley Bashforth",,,,
"Henry Hamilton Lawless",,,,
"Hilda Nuttall",,,,
"Jai Brierley",,,,
"James Judd",,,,
"Jodian Rodgers",,,,
"John Devaney",,,,
"John K. Ingham",,,,
"John Malos",,,,
"Jon Baker",,,,
"Joseph Weston Stevens",,,,
"Justin Quinnell","Q98539324","2015 United Kingdom general election","Bristol North West","Green Party of England and Wales"
"Keith Basil Wedmore",,,,
"Leslie Walter Bosisto",,,,
"M. Jones",,,,
"Margot Beauchamp",,,,
"Mary Georghiou",,,,
"Matt Giles",,,,
"Neil Hipkiss",,,,
"Nick Yarker",,,,
"P. Michael Kingston",,,,
"Pamela Tatlow",,,,
"Paul Smith",,,,
"Paul Turner",,,,
"Percy Williams",,,,
"Raymond R. Redmore",,,,
"Ricky Knight",,,,
"Robert G.R. Stacey",,,,
"Roy Nurse",,,,
"Sebastian Boyle",,,,
"Simon D. Muir",,,,
"Simon Muir",,,,
"Stewart Weston",,,,
"Suria Aujla","Q76364903","2019 United Kingdom general election","Bristol West","Conservative Party"
"Thomas Lennard",,,,
"Timothy Hedges",,,,
"Veronica Ralph",,,,
"Vivien Bath",,,,
"Walter Saise",,,,
"William Edward Balmer",,,,
"William Nichols Marcy",,,,
